Community_Name,Sector,Side,Per_capita_income,Percent_unemployed,Percent_without_diploma,Percent_households_below_poverty,Neighborhood,Ward,ZIP,Police_District,Unit_ID,Violation_ID,Issued_year,Time_of_day,License_plate_origin,Vehicle_type
North Center,Other N/NW Side,North Side,57123,5.2,4.5,7.5,NC2,47,60618,19,502,26,2010,Evening,Out-of-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WP3,32,60647,14,14,105,2009,Midday,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60605,1,498,139,2017,Midday,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,18,498,10,2005,AfterWork,In-state,PAS
Archer Heights,Other S/SE/SW Side,Southwest Side,16134,16.5,35.9,14.1,AH,14,60632,8,17,1,2003,Evening,Out-of-state,PAS
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,33,60625,17,498,44,2005,Midday,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,A1,48,60640,20,498,6,2004,Morning,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,12,60608,9,9,95,2016,Evening,Out-of-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,7,60649,4,3,185,2016,AfterWork,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,25,60608,12,498,11,2006,Morning,Out-of-state,PAS
Roseland,Other S/SE/SW Side,Far Southeast Side,17949,20.3,16.9,19.8,R2,9,60628,5,26,90,2014,AfterWork,In-state,PAS
Portage Park,Other N/NW Side,Northwest Side,24336,12.6,19.3,11.6,PP,38,60634,16,16,144,2000,Overnight,In-state,TRK
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,5,60637,3,4,10,2008,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,W2,44,60613,19,502,113,2016,Evening,In-state,PAS
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,31,60639,25,0,65,1997,AfterWork,In-state,PAS
Auburn Gresham,Other S/SE/SW Side,Far Southwest Side,15528,28.3,18.5,27.6,AG,6,60620,6,6,123,2005,Overnight,In-state,TMP
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,10,163,2013,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,19,6,2012,Morning,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,0,8,1998,Midday,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,27,60642,12,502,178,2009,Evening,In-state,PAS
East Side,Other S/SE/SW Side,Far Southeast Side,17104,12.1,31.9,19.2,ES,10,60617,4,4,44,2012,Overnight,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,498,10,2015,Morning,In-state,PAS
Chatham,Other S/SE/SW Side,Far Southeast Side,18881,24,14.5,27.8,C1,8,60619,6,6,8,2001,Overnight,In-state,PAS
East Garfield Park,Other W Side,West Side,12961,19.6,21.3,42.4,GP1,28,60624,11,353,154,2004,Evening,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,4,60604,1,252,26,2009,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,23,123,2002,Evening,In-state,PAS
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,498,10,2012,Morning,Out-of-state,TMP
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60615,2,498,123,2006,Midday,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,498,181,2011,Midday,In-state,PAS
Bridgeport,Other S/SE/SW Side,South Side,22694,13.7,22.2,18.9,B3,11,60608,9,498,113,2012,AfterWork,In-state,PAS
Chicago Lawn,Other S/SE/SW Side,Southwest Side,13231,17.1,31.2,27.9,CL,16,60629,8,498,10,2016,Morning,In-state,PAS
Uptown,Other N/NW Side,Far North Side,35787,8.9,11.8,24,U,46,60640,19,498,26,2012,Midday,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60605,1,495,65,2003,Overnight,In-state,PAS
Calumet Heights,Other S/SE/SW Side,Far Southeast Side,28887,20,11,11.5,CH,8,60617,4,498,185,2018,Morning,Out-of-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,25,105,2009,AfterWork,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,4,60615,2,498,113,2017,AfterWork,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,25,1,2014,Morning,In-state,Other
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,151,123,2005,Overnight,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,15,8,2000,Morning,In-state,PAS
East Side,Other S/SE/SW Side,Far Southeast Side,17104,12.1,31.9,19.2,ES,10,60617,4,498,6,2007,Morning,In-state,PAS
Douglas,Other S/SE/SW Side,South Side,23791,18.2,14.3,29.6,D1,3,60616,2,2,154,2011,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,502,163,2013,Evening,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,48,60660,24,498,113,2005,Midday,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,Sa,43,60614,19,19,44,2005,Evening,In-state,TRK
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,28,60612,12,498,163,2002,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,GC2,2,60610,18,498,6,2014,Morning,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WP3,1,60622,14,498,6,2011,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60613,19,0,163,1998,Morning,In-state,PAS
Washington Park,Other S/SE/SW Side,South Side,13785,28.6,25.4,42.1,WP2,3,60615,2,2,163,2003,Morning,In-state,PAS
South Deering,Other S/SE/SW Side,Far Southeast Side,14685,16.3,21,29.2,SD,7,60617,4,0,125,1996,Morning,In-state,PAS
Ashburn,Other S/SE/SW Side,Far Southwest Side,23482,11.7,17.7,10.4,A2,18,60652,8,498,1,2012,Morning,In-state,PAS
Logan Square,Logan Square,North Side,31908,8.2,14.8,16.8,LS2,35,60647,14,502,44,2015,AfterWork,In-state,PAS
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,50,60659,24,24,27,2014,Evening,In-state,Other
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,27,60642,12,12,1,2003,Midday,In-state,PAS
Chatham,Other S/SE/SW Side,Far Southeast Side,18881,24,14.5,27.8,C1,6,60620,6,0,145,2005,Overnight,Out-of-state,TRK
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,40,60660,20,20,6,2008,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,42,60601,1,701,11,2011,Midday,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,19,498,113,2012,Midday,Out-of-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,498,154,2008,Midday,In-state,PAS
Dunning,Other N/NW Side,Northwest Side,26282,10,16.2,10.6,D2,38,60634,16,16,6,2004,Morning,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,498,6,2015,Morning,In-state,PAS
Mckinley Park,Other S/SE/SW Side,Southwest Side,16954,13.4,32.9,18.7,MP1,12,60608,9,498,1,2013,Midday,In-state,PAS
West Englewood,Other S/SE/SW Side,Southwest Side,11317,35.9,26.3,34.4,E2,15,60636,7,498,10,2007,Midday,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,40,60660,20,498,154,2006,Morning,In-state,PAS
Englewood,Other S/SE/SW Side,Southwest Side,11888,28,28.5,46.6,E2,6,60621,7,7,10,2003,AfterWork,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,729,79,2016,AfterWork,Out-of-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,42,60601,1,152,154,2004,Morning,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,12,0,154,1998,AfterWork,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,36,60612,12,498,113,2001,Morning,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,24,46,1998,Overnight,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,24,105,1999,Morning,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,27,60642,12,12,6,2004,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,GC2,2,60610,18,502,113,2015,Evening,In-state,TMP
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,2,60610,18,498,123,2003,Midday,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WP3,1,60622,14,14,44,2002,AfterWork,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,1,60642,12,502,179,2011,Evening,In-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,12,60632,9,9,123,2005,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,42,60611,18,18,1,2001,Evening,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,502,113,2005,Midday,In-state,PAS
West Elsdon,Other S/SE/SW Side,Southwest Side,15754,16.7,37,15.6,WE,23,60629,8,8,1,2003,Overnight,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,498,6,2009,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,23,79,1999,AfterWork,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,498,185,2017,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,27,60610,18,498,44,2016,Morning,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,10,31,2016,Midday,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,34,60661,12,12,114,2014,Midday,In-state,TRK
West Garfield Park,Other W Side,West Side,10934,25.8,24.5,41.7,GP1,28,60624,11,193,28,2015,AfterWork,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,OT,2,60610,18,498,44,2016,Morning,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,28,60644,15,15,10,2016,Midday,In-state,PAS
Armour Square,Other S/SE/SW Side,South Side,16148,16.7,34.5,40.1,C2,11,60616,9,498,185,2017,Midday,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,10,185,2018,Overnight,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,OT,2,60614,18,502,123,2004,AfterWork,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60608,10,498,6,2013,Midday,In-state,PAS
